ID,Name,Description,Piano,North,East,West,South,Up,Down,Confidence
1,Scalone (in alto,"Nei pressi dello scalone che scende",1,0,0,0,6,0,0,Alta
2,Ufficio (stanzetta),"Stanzetta adibita ad ufficio; bastone di comando",1,0,0,0,0,0,26,Alta
3,Corridoio diroccato (primo piano),"Corridoio diroccato sul primo piano",1,0,0,0,4,0,0,Alta
4,Grande sala (primo piano),"Grande sala diroccata sul primo piano",1,0,0,3,0,0,0,Alta
5,Ripostiglio (umido),"Umido ed angusto ripostiglio",0,0,0,0,0,0,0,Alta
6,Grosso scalone (piano terra),"Piede del grande scalone",0,1,0,0,0,0,0,Alta
7,Barriera americana (guardia),"Posto di controllo alla barriera; guardia",0,0,0,0,0,0,0,Alta
8,Atrio (inizio),"Atrio della casa (inizio della partita)",0,0,9,0,0,0,0,Alta
9,Reception,"Reception della casa (ex reception)",0,11,3,8,0,0,0,Alta
10,Corridoio impolverato,"Grande corridoio impolverato",0,14,11,0,0,0,0,Alta
11,Elevatore,"Vecchio elevatore",0,0,0,9,0,0,0,Alta
12,EndPoint - (Muori / avviso elevatore),"EndPoint - entrare nell'ascensore causa morte/evento mortale",0,0,0,0,0,0,0,Alta
13,Pianerottolo,"Pianerottolo di una scala",0,0,0,0,0,0,45,Alta
14,Corridoio umido (ampio),"Ampio ed umido corridoio (piano terra)",0,15,8,11,0,0,0,Alta
15,Grande salone (p.t.),"Grande salone con grande tavolo",0,0,7,0,0,0,0,Alta
16,Ex sala radio,"Sala che fu una sala radio",0,0,12,15,0,0,0,Alta
17,Cortile esterno,"Cortile esterno alla casa",0,0,18,0,13,0,0,Alta
18,Vecchio archivio,"Archivio con fermacarte e scrivania",0,0,14,0,0,0,0,Alta
19,Scaffali vuoti,"Scaffali vuoti (biblioteca/archivio)",0,20,0,0,0,0,0,Alta
20,Ampio corridoio,"Ampio ed umido corridoio (altro tratto)",0,0,21,19,0,0,0,Alta
21,Studio (Gauleiter),"Studio del Gauleiter con arazzo; passaggio segreto",0,24,16,14,0,0,0,Alta
22,Armeria,"Armeria interna",0,0,0,0,0,0,0,Media
23,Cortile (secondario),"Corte / cortile interno",0,41,0,0,0,0,0,Media
24,Biblioteca (ex),"Sala che fu una biblioteca; quadro con cassaforte",0,11,25,0,14,0,0,Alta
25,Piccola saletta segreta,"Piccola saletta con lista di servizio e scrivania",0,0,0,24,0,0,0,Alta
26,Sala trofei,"Sala trofei con statuetta e trofei",0,16,0,0,0,0,0,Alta
27,Garage,"Garage della casa; badile arrugginito",0,0,0,17,0,0,45,Alta
28,Bagno adiacente,"Bagno adiacente camera (semiterrato)",-1,0,29,0,0,0,0,Alta
29,Camera da letto,"Camera da letto (semiterrato/adiacente)",-1,0,30,28,0,0,0,Alta
30,Studio adiacente,"Studio adiacente alla camera",-1,0,31,29,0,0,0,Alta
31,Stretto passaggio A,"Stretto passaggio: prosegue est verso B; connesso bidirez.",-1,0,32,0,0,0,0,Media
32,Stretto passaggio B,"Stretto passaggio: Ovest→A, Est→C (bidirezionale)",-1,0,33,31,0,0,0,Media
33,Stretto passaggio C,"Stretto passaggio: Ovest→B, Est→Passaggio aperto (49)",-1,49,0,32,0,0,0,Media
34,Stanza della domestica,"Stanza della domestica",0,0,0,0,0,0,0,Media
35,Filo spinato (esterno),"Filo spinato / barriera esterna",0,0,0,0,0,0,0,Alta
36,Capanno attrezzi,"Capanno con bilancia; botola con dossier",0,0,0,28,0,0,0,Alta
37,Atrio del bunker,"Atrio interno del bunker (semiterrato), accesso da nicchia",-1,38,0,0,0,0,0,Alta
38,Ampia sala (bunker),"Ampia sala con sedile ruotante che apre passaggio est",-1,39,0,37,0,0,0,Alta
39,Stanza segreta (archivio bunker),"Stanza segreta con fascicolo; tavolo (prendi fascicolo)",-1,0,0,38,0,0,0,Alta
40,Scala a chiocciola (ingresso),"Scala a chiocciola che collega seminterrato / retro",-1,0,0,0,0,51,0,Media
41,Atrio esterno retro,"Atrio esterno / area retro",0,42,27,0,0,0,0,Alta
42,Grossa piazza,"Grande piazza esterna",0,0,43,41,0,0,0,Alta
43,Strada,"Strada / area esterna",0,0,35,42,0,0,0,Alta
44,Filo spinato (posteriore),"Pungo filo spinato esterno",0,0,0,0,0,0,0,Alta
45,Pianerottolo inferiore,"Pianerottolo inferiore della scala (seminterrato)",-1,46,0,0,13,0,0,Alta
46,Corridoio del seminterrato,"Corridoio seminterrato con nicchia vuota",-1,47,0,0,0,0,0,Alta
47,Sala di torture,"Sala delle torture (semiterrato)",-1,0,0,46,0,0,0,Alta
48,Stretto passaggio (crollo),"Tratto che può crollare; Forma circolare; connesso est↔49",-1,0,49,0,0,0,0,Media
49,Passaggio aperto (est/ovest),"Passaggio aperto ad est e ovest nel bunker; bidirezionale",-1,0,50,33,0,0,0,Media
50,Passaggio con pulsante e porta,"Passaggio con pulsante e porta (porta apre al retro)",-1,0,51,49,0,0,0,Alta
51,Scala a chiocciola (verso retro),"Scala a chiocciola che sale al retro/piano terra",0,0,0,0,0,0,23,Alta
52,Piccola cucina (retro),"Piccola cucina retro; contiene un peso",0,0,53,0,0,0,0,Alta
53,Tinello,"Tinello con tavolo; accesso al capanno e piazza",0,27,27,52,0,0,0,Alta
54,Posto di blocco,"Posto di blocco all'esterno",0,0,0,0,0,0,0,Alta
55,Filo spinato (posteriore 2),"Filo spinato / pericolo esterno",0,0,0,0,0,0,0,Alta
56,Piccola saletta squallida,"Piccola saletta seminterrato",-1,57,0,0,0,0,0,Alta
57,Pozzo profondo,"Pozzo profondo (pericolo)",-1,0,0,56,0,0,0,Alta
58,EndPoint - (Mortale: sentinelle),"EndPoint - cattura da sentinelle → morte",0,0,0,0,0,0,0,Alta
59,EndPoint - (Mortale: caduta pozzo),"EndPoint - caduta in pozzo → morte",-1,0,0,0,0,0,0,Alta